title,url
AKB0048,https://tvtropes.org/pmwiki/pmwiki.php/Anime/AKB0048
Doraemon: The Record of Nobita : Spaceblazer,https://tvtropes.org/pmwiki/pmwiki.php/Anime/DoraemonTheRecordOfNobitaSpaceblazer
Doraemon: Nobita's Drifts in the Universe,https://tvtropes.org/pmwiki/pmwiki.php/Anime/DoraemonNobitasDriftsInTheUniverse
the Saiyan Saga,https://tvtropes.org/pmwiki/pmwiki.php/Anime/DragonBallZ
Gankutsuou,https://tvtropes.org/pmwiki/pmwiki.php/Anime/Gankutsuou
usual,https://tvtropes.org/pmwiki/pmwiki.php/Anime/MobileSuitGundam00
Irresponsible Captain Tylor,https://tvtropes.org/pmwiki/pmwiki.php/Anime/IrresponsibleCaptainTylor
Macross,https://tvtropes.org/pmwiki/pmwiki.php/Anime/Macross
Space Battleship Yamato,https://tvtropes.org/pmwiki/pmwiki.php/Anime/SpaceBattleshipYamato
Space Battleship Yamato 2199,https://tvtropes.org/pmwiki/pmwiki.php/Anime/SpaceBattleshipYamato2199
Star★Twinkle Pretty Cure,https://tvtropes.org/pmwiki/pmwiki.php/Anime/StarTwinklePrettyCure
Tenchi Muyo! Ryo-Ohki,https://tvtropes.org/pmwiki/pmwiki.php/Anime/TenchiMuyoRyoOhki
Tenchi Muyo! GXP,https://tvtropes.org/pmwiki/pmwiki.php/Anime/TenchiMuyoGXP
Tenchi Universe,https://tvtropes.org/pmwiki/pmwiki.php/Anime/TenchiUniverse
Tengen Toppa Gurren Lagann,https://tvtropes.org/pmwiki/pmwiki.php/Anime/TengenToppaGurrenLagann
Ulysses 31,https://tvtropes.org/pmwiki/pmwiki.php/Anime/Ulysses31
Vandread,https://tvtropes.org/pmwiki/pmwiki.php/Anime/Vandread
Captain Harlock,https://tvtropes.org/pmwiki/pmwiki.php/Manga/CaptainHarlock
The original series,https://tvtropes.org/pmwiki/pmwiki.php/Manga/DragonBall
2000 AD,https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/TwoThousandAD
The Ballad of Halo Jones,https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/TheBalladOfHaloJones
Judge Dredd,https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/JudgeDredd
Shakara,https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/Shakara
Nemesis the Warlock,https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/NemesisTheWarlock
Albedo: Erma Felna EDF,https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/AlbedoErmaFelnaEDF
Bucky O'Hare and the Toad Wars!,https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/BuckyOHareAndTheToadWars
Cosmo (2018),https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/Cosmo2018
Green Lantern,https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/GreenLantern
Sinestro Corps War,https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/SinestroCorpsWar
Legion of Super-Heroes,https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/LegionOfSuperHeroes
The Earthwar Saga,https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/TheEarthwarSaga
The Great Darkness Saga,https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/TheGreatDarknessSaga
Those Emerald Eyes Are Shining,https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/ThoseEmeraldEyesAreShining
X-Men: Rise and Fall of the Shi'Ar Empire,https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/XMen
Annihilation,https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/Annihilation
Annihilation: Conquest,https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/AnnihilationConquest
War of Kings,https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/WarOfKings
The Thanos Imperative,https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/TheThanosImperative
Nova,https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/Nova
Guardians of the Galaxy,https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/GuardiansOfTheGalaxy
Metabarons Universe,https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/MetabaronsUniverse
The Metabarons,https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/TheMetabarons
Paperinik New Adventures,https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/PaperinikNewAdventures
Supergirl,https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/Supergirl
Red Daughter of Krypton,https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/RedDaughterOfKrypton
The Killers of Krypton,https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/TheKillersOfKrypton
Superman,https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/Superman
War World,https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/WarWorld
Valérian,https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/Valerian
X-Men,https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/XMen
The Dark Phoenix Saga,https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/TheDarkPhoenixSaga
The Brood Saga,https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/TheBroodSaga
The Amory Wars,https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/TheAmoryWars
Buck Rogers,https://tvtropes.org/pmwiki/pmwiki.php/ComicStrip/BuckRogers
Flash Gordon,https://tvtropes.org/pmwiki/pmwiki.php/ComicStrip/FlashGordon
Buck Rogers,https://tvtropes.org/pmwiki/pmwiki.php/ComicStrip/BuckRogers
Flash Gordon,https://tvtropes.org/pmwiki/pmwiki.php/ComicStrip/FlashGordon
"
                    ",https://tvtropes.org/pmwiki/pmwiki.php/Literature/SpaceOpera
John Carter of Mars,https://tvtropes.org/pmwiki/pmwiki.php/Literature/JohnCarterOfMars
Lensman,https://tvtropes.org/pmwiki/pmwiki.php/Literature/Lensman
The Lord of the Rings,https://tvtropes.org/pmwiki/pmwiki.php/Literature/TheLordOfTheRings
Starship Operators,https://tvtropes.org/pmwiki/pmwiki.php/Literature/StarshipOperators
Revelation Space Series,https://tvtropes.org/pmwiki/pmwiki.php/Literature/RevelationSpaceSeries
Crusher Joe,https://tvtropes.org/pmwiki/pmwiki.php/Literature/CrusherJoe
John Carter of Mars,https://tvtropes.org/pmwiki/pmwiki.php/Literature/JohnCarterOfMars
The Count of Monte Cristo,https://tvtropes.org/pmwiki/pmwiki.php/Literature/TheCountOfMonteCristo
Starship Operators,https://tvtropes.org/pmwiki/pmwiki.php/Literature/StarshipOperators
Tytania,https://tvtropes.org/pmwiki/pmwiki.php/Literature/Tytania
Dune,https://tvtropes.org/pmwiki/pmwiki.php/Literature/Dune
The Odyssey,https://tvtropes.org/pmwiki/pmwiki.php/Literature/TheOdyssey
Dune,https://tvtropes.org/pmwiki/pmwiki.php/Literature/Dune
Fighting Fantasy,https://tvtropes.org/pmwiki/pmwiki.php/Literature/FightingFantasy
Starship Traveller,https://tvtropes.org/pmwiki/pmwiki.php/Literature/StarshipTraveller
Rebel Planet,https://tvtropes.org/pmwiki/pmwiki.php/Literature/RebelPlanet
Star Strider,https://tvtropes.org/pmwiki/pmwiki.php/Literature/StarStrider
Star Challenge,https://tvtropes.org/pmwiki/pmwiki.php/Literature/StarChallenge
Aeon 14,https://tvtropes.org/pmwiki/pmwiki.php/Literature/Aeon14
Alliance/Union,https://tvtropes.org/pmwiki/pmwiki.php/Literature/AllianceUnion
The Bloodright Trilogy,https://tvtropes.org/pmwiki/pmwiki.php/Literature/TheBloodrightTrilogy
The Burning Dark,https://tvtropes.org/pmwiki/pmwiki.php/Literature/TheBurningDark
Cassandra Kresnov,https://tvtropes.org/pmwiki/pmwiki.php/Literature/CassandraKresnov
Castle Federation,https://tvtropes.org/pmwiki/pmwiki.php/Literature/CastleFederation
The Culture,https://tvtropes.org/pmwiki/pmwiki.php/Literature/TheCulture
Deathstalker,https://tvtropes.org/pmwiki/pmwiki.php/Literature/Deathstalker
Dread Empire's Fall,https://tvtropes.org/pmwiki/pmwiki.php/Literature/DreadEmpiresFall
Drake Maijstral,https://tvtropes.org/pmwiki/pmwiki.php/Literature/DrakeMaijstral
Dune,https://tvtropes.org/pmwiki/pmwiki.php/Literature/Dune
The Flight Engineer,https://tvtropes.org/pmwiki/pmwiki.php/Literature/TheFlightEngineer
Foundation Series,https://tvtropes.org/pmwiki/pmwiki.php/Literature/FoundationSeries
The Decline And Fall Of The Roman Empire,https://tvtropes.org/pmwiki/pmwiki.php/Literature/TheDeclineAndFallOfTheRomanEmpire
Future History,https://tvtropes.org/pmwiki/pmwiki.php/Literature/FutureHistory
The Gap Cycle,https://tvtropes.org/pmwiki/pmwiki.php/Literature/TheGapCycle
The Hitchhiker's Guide to the Galaxy,https://tvtropes.org/pmwiki/pmwiki.php/Literature/TheHitchhikersGuideToTheGalaxy
Horus Heresy,https://tvtropes.org/pmwiki/pmwiki.php/Literature/HorusHeresy
Paradise Lost,https://tvtropes.org/pmwiki/pmwiki.php/Literature/ParadiseLost
Honor Harrington,https://tvtropes.org/pmwiki/pmwiki.php/Literature/HonorHarrington
Humanity Within,https://tvtropes.org/pmwiki/pmwiki.php/Literature/HumanityWithin
Humanx Commonwealth,https://tvtropes.org/pmwiki/pmwiki.php/Literature/HumanxCommonwealth
Instrumentality Of Man,https://tvtropes.org/pmwiki/pmwiki.php/Literature/InstrumentalityOfMan
Interstellar Gunrunner,https://tvtropes.org/pmwiki/pmwiki.php/Literature/InterstellarGunrunner
John Carter of Mars,https://tvtropes.org/pmwiki/pmwiki.php/Literature/JohnCarterOfMars
Lacuna,https://tvtropes.org/pmwiki/pmwiki.php/Literature/Lacuna
Legend of the Galactic Heroes,https://tvtropes.org/pmwiki/pmwiki.php/Literature/LegendOfTheGalacticHeroes
Lensman,https://tvtropes.org/pmwiki/pmwiki.php/Literature/Lensman
Skylark Series,https://tvtropes.org/pmwiki/pmwiki.php/Literature/SkylarkSeries
The Last Hunter,https://tvtropes.org/pmwiki/pmwiki.php/Literature/TheLastHunter
The Lost Fleet,https://tvtropes.org/pmwiki/pmwiki.php/Literature/TheLostFleet
The Genesis Fleet,https://tvtropes.org/pmwiki/pmwiki.php/Literature/TheGenesisFleet
Lucifer's Star,https://tvtropes.org/pmwiki/pmwiki.php/Literature/LucifersStar
Molly Fyde,https://tvtropes.org/pmwiki/pmwiki.php/Literature/MollyFyde
Omega Force,https://tvtropes.org/pmwiki/pmwiki.php/Literature/OmegaForce
Thousand Cultures,https://tvtropes.org/pmwiki/pmwiki.php/Literature/ThousandCultures
Perry Rhodan,https://tvtropes.org/pmwiki/pmwiki.php/Literature/PerryRhodan
The Secret King,https://tvtropes.org/pmwiki/pmwiki.php/Literature/TheSecretKing
Skylark Series,https://tvtropes.org/pmwiki/pmwiki.php/Literature/SkylarkSeries
Space Academy,https://tvtropes.org/pmwiki/pmwiki.php/Literature/SpaceAcademy
Space Angel,https://tvtropes.org/pmwiki/pmwiki.php/Literature/SpaceAngel
Space Opera,https://tvtropes.org/pmwiki/pmwiki.php/Literature/SpaceOpera
Space Vulture,https://tvtropes.org/pmwiki/pmwiki.php/Literature/SpaceVulture
Theirs Not to Reason Why,https://tvtropes.org/pmwiki/pmwiki.php/Literature/TheirsNotToReasonWhy
Dune,https://tvtropes.org/pmwiki/pmwiki.php/Literature/Dune
Artemis Neo,https://tvtropes.org/pmwiki/pmwiki.php/Literature/ArtemisNeo
Caelum Lex,https://tvtropes.org/pmwiki/pmwiki.php/Literature/CaelumLex
The Last Angel,https://tvtropes.org/pmwiki/pmwiki.php/Literature/TheLastAngel
Space Pirate Captain MacTaggart,https://tvtropes.org/pmwiki/pmwiki.php/Literature/SpacePirateCaptainMacTaggart
SPARK Of Tyranny,https://tvtropes.org/pmwiki/pmwiki.php/Literature/SPARKOfTyranny
Tails From The Federation,https://tvtropes.org/pmwiki/pmwiki.php/Literature/TailsFromTheFederation
Color World Universe,https://tvtropes.org/pmwiki/pmwiki.php/Literature/ColorWorldUniverse
Ring of the Nibelung,https://tvtropes.org/pmwiki/pmwiki.php/Theatre/RingOfTheNibelung
The Endless Night,https://tvtropes.org/pmwiki/pmwiki.php/Podcast/TheEndlessNight
Richard Wagner,https://tvtropes.org/pmwiki/pmwiki.php/Music/RichardWagner
Coheed and Cambria,https://tvtropes.org/pmwiki/pmwiki.php/Music/CoheedAndCambria
Ayreon,https://tvtropes.org/pmwiki/pmwiki.php/Music/Ayreon
Iron Savior,https://tvtropes.org/pmwiki/pmwiki.php/Music/IronSavior
